Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
117,26,6,169,8,Some Random Commen with Id 117
118,26,6,136,6,Some Random Commen with Id 118
119,26,6,142,3,Some Random Commen with Id 119
120,26,6,16,1,Some Random Commen with Id 120
121,26,6,138,8,Some Random Commen with Id 121
122,26,6,75,7,Some Random Commen with Id 122
123,26,6,153,7,Some Random Commen with Id 123
124,27,3,108,7,Some Random Commen with Id 124
125,27,3,181,3,Some Random Commen with Id 125
126,27,3,12,7,Some Random Commen with Id 126
127,28,5,150,9,Some Random Commen with Id 127
128,28,5,184,3,Some Random Commen with Id 128
129,28,5,73,5,Some Random Commen with Id 129
130,28,5,184,5,Some Random Commen with Id 130
131,28,5,42,0,Some Random Commen with Id 131
132,28,5,166,0,Some Random Commen with Id 132
133,29,7,73,2,Some Random Commen with Id 133
134,29,7,180,2,Some Random Commen with Id 134
135,29,7,23,1,Some Random Commen with Id 135
136,29,7,169,3,Some Random Commen with Id 136
137,30,1,9,1,Some Random Commen with Id 137
138,30,1,115,3,Some Random Commen with Id 138
139,30,1,24,6,Some Random Commen with Id 139
140,30,1,146,7,Some Random Commen with Id 140
141,30,1,33,1,Some Random Commen with Id 141
142,30,1,195,6,Some Random Commen with Id 142
143,30,1,183,3,Some Random Commen with Id 143
144,30,1,197,9,Some Random Commen with Id 144
145,32,2,135,5,Some Random Commen with Id 145
146,32,2,37,3,Some Random Commen with Id 146
147,32,2,98,0,Some Random Commen with Id 147
148,33,1,86,9,Some Random Commen with Id 148
149,33,1,138,0,Some Random Commen with Id 149
150,33,1,116,4,Some Random Commen with Id 150
151,34,3,178,9,Some Random Commen with Id 151
152,34,3,149,9,Some Random Commen with Id 152
153,34,3,27,3,Some Random Commen with Id 153
154,34,3,24,6,Some Random Commen with Id 154
155,34,3,131,2,Some Random Commen with Id 155
156,36,9,195,6,Some Random Commen with Id 156
157,36,9,5,8,Some Random Commen with Id 157
158,36,9,80,1,Some Random Commen with Id 158
159,36,9,64,1,Some Random Commen with Id 159
160,36,9,82,7,Some Random Commen with Id 160
161,36,9,131,3,Some Random Commen with Id 161
162,36,9,174,7,Some Random Commen with Id 162
163,36,9,184,3,Some Random Commen with Id 163
164,37,5,165,2,Some Random Commen with Id 164
165,37,5,81,4,Some Random Commen with Id 165
166,39,5,26,2,Some Random Commen with Id 166
167,39,5,181,2,Some Random Commen with Id 167
